metric,window_label,concentration_quintile,breadth_quintile,profiles,avg_meaningful_titles,avg_top_title_share,avg_watch_hours,avg_active_days,profiles_measured,known_outcomes,raw_avg_rate,deviation_vs_watch_context,share_above_watch_context,min_watch_benchmark_n,deviation_vs_active_day_context,share_above_active_day_context,min_active_day_benchmark_n,control_directions,support_note
rewatch_14d,BASELINE_90,1,3,2,10.5,0.1693,36.95,30.5,2,99,0.1265,-0.1401,0,1750,-0.1533,0,1739,BOTH_NEGATIVE,THIN_CELL
rewatch_14d,BASELINE_90,1,4,305,18.95,0.1509,57.34,42.38,305,18778,0.209,-0.0373,0.3246,1722,-0.0455,0.3049,1739,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,1,5,1446,52.05,0.1082,128.22,57.85,1446,150370,0.2191,-0.0044,0.4163,1722,-0.0096,0.3976,1739,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,2,2,29,5.17,0.294,13.31,18,26,570,0.2513,-0.0075,0.3462,1033,-0.0169,0.3462,1010,BOTH_NEGATIVE,THIN_CELL
rewatch_14d,BASELINE_90,2,3,407,8.65,0.2697,23.11,25.68,399,11697,0.2322,-0.0355,0.3133,1033,-0.0437,0.3083,1010,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,2,4,1036,16.01,0.2384,37.27,35.64,1034,37539,0.2716,0.0068,0.4352,1596,0.0023,0.4323,1601,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,2,5,280,30.72,0.2181,74.34,47.84,280,17411,0.2859,0.0459,0.5643,1750,0.0423,0.5643,1739,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,3,1,102,3,0.4176,6.71,11.78,90,917,0.1755,-0.0697,0.2667,1033,-0.0595,0.2667,1010,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,3,2,517,4.62,0.4009,10.07,15.65,469,7072,0.2363,-0.0206,0.3753,1033,-0.0168,0.3987,1010,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,3,3,789,7.9,0.3801,16.54,22.67,766,15184,0.2758,0.0063,0.4243,1033,0.002,0.4191,1010,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,3,4,322,14,0.3691,26.66,30.65,322,7044,0.3365,0.0672,0.587,1596,0.0612,0.5776,1601,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,3,5,22,29.32,0.3433,77.83,46.91,22,1599,0.2893,0.0541,0.5455,1750,0.0402,0.5,1739,BOTH_POSITIVE,THIN_CELL
rewatch_14d,BASELINE_90,4,1,540,2.65,0.5474,5.93,10.8,457,4479,0.1831,-0.0558,0.3239,1033,-0.0419,0.3414,1010,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,4,2,701,4.24,0.5364,8.43,14.47,620,7419,0.2409,-0.0137,0.3984,1033,-0.0099,0.4,1010,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,4,3,429,7.36,0.5245,13.5,19.89,412,5663,0.3247,0.057,0.5437,1033,0.0531,0.551,1010,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,4,4,78,12.92,0.5167,24.26,28.03,77,1051,0.4081,0.1374,0.6883,1596,0.1297,0.7013,1601,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,4,5,4,31.25,0.485,78.64,49,4,250,0.2513,0.0192,0.5,1750,0.0026,0.5,1751,BOTH_POSITIVE,THIN_CELL
rewatch_14d,BASELINE_90,5,1,1111,2.28,0.8189,4.84,8.47,659,4721,0.1935,-0.0378,0.3703,1033,-0.019,0.4097,1010,BOTH_NEGATIVE,STANDARD
rewatch_14d,BASELINE_90,5,2,505,4.04,0.7461,8.16,12.69,354,3171,0.2832,0.0279,0.4887,1033,0.0375,0.5169,1010,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,5,3,125,7.4,0.7168,14.76,19.51,100,917,0.4094,0.1386,0.67,1033,0.137,0.67,1010,BOTH_POSITIVE,STANDARD
rewatch_14d,BASELINE_90,5,4,11,11.55,0.6921,21.14,25.73,9,79,0.4749,0.202,0.8889,1722,0.1987,0.8889,1601,BOTH_POSITIVE,THIN_CELL
rewatch_14d,FINAL_90,1,3,9,12.22,0.1393,29.84,25.56,9,188,0.0596,-0.1007,0,1826,-0.1056,0,1853,BOTH_NEGATIVE,THIN_CELL
rewatch_14d,FINAL_90,1,4,455,23.37,0.127,47.79,35.71,453,12138,0.1266,-0.0181,0.3289,1826,-0.0197,0.3267,1461,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,1,5,1489,65.14,0.0923,130.16,55.58,1489,112354,0.1072,-0.0036,0.3687,1943,-0.0018,0.3895,1853,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,2,2,35,6.37,0.2433,12.96,14.06,31,278,0.1213,-0.0487,0.2903,660,-0.0407,0.2581,655,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,2,3,481,10.76,0.2245,21.19,22.23,464,6280,0.1347,-0.0358,0.319,660,-0.0339,0.3125,655,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,2,4,1045,20.07,0.2006,40.1,33.41,1038,25430,0.1566,0.0054,0.4133,1477,0.0068,0.4268,1461,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,2,5,392,44.23,0.1924,96.85,51.72,392,27987,0.0997,-0.014,0.2704,1943,-0.0122,0.3112,1853,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,3,1,35,3.11,0.3831,6.2,8.71,18,119,0.1177,-0.0316,0.3333,660,-0.0272,0.3333,655,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,3,2,523,5.44,0.3511,10.24,13.23,375,3265,0.1388,-0.0249,0.344,660,-0.0256,0.3173,655,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,3,3,949,9.6,0.3327,18.36,21.23,878,11736,0.1711,-0.0001,0.3793,660,0.0021,0.3804,655,MIXED_OR_ZERO,STANDARD
rewatch_14d,FINAL_90,3,4,377,18.16,0.3178,37.13,32.72,371,10477,0.1656,0.0108,0.3935,1477,0.0138,0.407,1461,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,3,5,68,40.15,0.3088,95.05,51.65,68,4671,0.0815,-0.0315,0.2941,1943,-0.0289,0.2794,1937,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,4,1,515,2.77,0.5248,5.34,7.85,219,1181,0.1469,0.0086,0.4018,660,0.0063,0.4018,655,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,4,2,914,5,0.4945,9.46,13.03,637,5065,0.1863,0.0255,0.4333,660,0.0236,0.405,655,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,4,3,446,9.05,0.4774,17.1,20.72,403,4994,0.2035,0.0336,0.4591,660,0.0348,0.4566,655,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,4,4,74,17.99,0.4715,43.11,36.72,74,2844,0.133,-0.0176,0.2838,1826,-0.011,0.2973,1853,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,4,5,3,39.33,0.4341,106.88,47.67,3,152,0.0923,-0.029,0.3333,1943,-0.0262,0.3333,1937,BOTH_NEGATIVE,THIN_CELL
rewatch_14d,FINAL_90,5,1,1403,2.14,0.8183,4.71,7.73,592,2997,0.1256,-0.0046,0.3682,660,-0.0133,0.3581,655,BOTH_NEGATIVE,STANDARD
rewatch_14d,FINAL_90,5,2,481,4.63,0.6965,8.87,13.1,289,2058,0.1931,0.0369,0.4948,660,0.0289,0.4671,655,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,5,3,67,8.18,0.6632,14.27,19.94,54,625,0.2149,0.0458,0.5,660,0.045,0.4444,655,BOTH_POSITIVE,STANDARD
rewatch_14d,FINAL_90,5,4,1,17,0.6408,35.2,39,1,57,0,-0.1511,0,1943,-0.1531,0,1937,BOTH_NEGATIVE,THIN_CELL
